"Name","Type","objectTypeName","inheritedObjectTypeName","ActiveDirectoryRight","AccessControl","IdentityReferenceName","OwnerName","DistinguishedName","Owner","ActiveDirectoryRights","InheritanceType","ObjectType","InheritedObjectType","ObjectFlags","AccessControlType","IdentityReference","IsInherited","InheritanceFlags","PropagationFlags"
"sos.labs","Domain","All","All","DeleteChild","Deny","Everyone","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","DeleteChild","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Deny","Everyone","False","None","None"
"sos.labs","Domain","All","All","ReadProperty","Allow","Everyone","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","ReadProperty","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","Everyone","False","None","None"
"sos.labs","Domain","All","All","GenericRead","Allow","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","GenericRead","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","False","None","None"
"sos.labs","Domain","All","All","GenericRead","Allow","NT AUTHORITY\Authenticated Users","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","GenericRead","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","NT AUTHORITY\Authenticated Users","False","None","None"
"sos.labs","Domain","All","All","GenericAll","Allow","NT AUTHORITY\SYSTEM","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","GenericAll","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","NT AUTHORITY\SYSTEM","False","None","None"
"sos.labs","Domain","All","All","CreateChild, Self, WriteProperty, ExtendedRight, Delete, GenericRead, WriteDacl, WriteOwner","Allow","BUILTIN\Administrators","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","CreateChild, Self, WriteProperty, ExtendedRight, Delete, GenericRead, WriteDacl, WriteOwner","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","BUILTIN\Administrators","False","ContainerInherit","None"
"sos.labs","Domain","All","All","ListChildren","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","ListChildren","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","False","ContainerInherit","None"
"sos.labs","Domain","All","All","ReadProperty, ReadControl","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","ReadProperty, ReadControl","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","False","None","None"
"sos.labs","Domain","All","All","CreateChild, Self, WriteProperty, ExtendedRight, GenericRead, WriteDacl, WriteOwner","Allow","sos\Domain Admins","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","CreateChild, Self, WriteProperty, ExtendedRight, GenericRead, WriteDacl, WriteOwner","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","sos\Domain Admins","False","None","None"
"sos.labs","Domain","All","All","GenericAll","Allow","sos\Enterprise Admins","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","GenericAll","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","sos\Enterprise Admins","False","ContainerInherit","None"
"sos.labs","Domain","All","All","ReadProperty, GenericExecute","Allow","sos\backdoor","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","ReadProperty, GenericExecute","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","sos\backdoor","False","None","None"
"sos.labs","Domain","DS-Validated-Write-Computer","Computer","Self","Allow","CREATOR OWNER","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","Self","Descendents","9b026da6-0d3c-465c-8bee-5199d7165cba","bf967a86-0de6-11d0-a285-00aa003049e2","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","CREATOR OWNER","False","ContainerInherit","InheritOnly"
"sos.labs","Domain","DS-Replication-Manage-Topology","All","ExtendedRight","Allow","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","ExtendedRight","None","1131f6ac-9c07-11d1-f79f-00c04fc2dcd2","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","False","None","None"
"sos.labs","Domain","DS-Replication-Synchronize","All","ExtendedRight","Allow","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","ExtendedRight","None","1131f6ab-9c07-11d1-f79f-00c04fc2dcd2","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","False","None","None"
"sos.labs","Domain","DS-Replication-Get-Changes","All","ExtendedRight","Allow","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","ExtendedRight","None","1131f6aa-9c07-11d1-f79f-00c04fc2dcd2","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","False","None","None"
"sos.labs","Domain","DS-Replication-Get-Changes-In-Filtered-Set","All","ExtendedRight","Allow","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","ExtendedRight","None","89e95b76-444d-4c62-991a-0facbeda640c","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","False","None","None"
"sos.labs","Domain","Token-Groups","User","ReadProperty","Allow","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","BUILTIN\Administrators","DC=sos,DC=labs","BUILTIN\Administrators","ReadProperty","Descendents","b7c69e6d-2cc7-11d2-854e-00a0c983f608","bf967aba-0de6-11d0-a285-00aa003049e2","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","False","ContainerInherit","InheritOnly"
