"Category","Value"
"Name","sos.labs"
"Functional Level","Windows2016Forest"
"Domain Naming Master","DC1.sos.labs"
"Schema Master","DC1.sos.labs"
"RootDomain","sos.labs"
"Domain Count","1"
"Site Count","1"
"Global Catalog Count","1"
"Domain","sos.labs"
"Site","Default-First-Site-Name"
"GlobalCatalog","DC1.sos.labs"
"Tombstone Lifetime","180"
"Recycle Bin (2008 R2 onwards)","Enabled"
"Enabled Scope","CN=Partitions,CN=Configuration,DC=sos,DC=labs"
"Enabled Scope","CN=NTDS Settings,CN=DC1,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=sos,DC=labs"
"Privileged Access Management (2016 onwards)","Disabled"
