"Name","AdminCount","GroupCategory","GroupScope","ManagedBy","SID","SIDHistory","Description","whenCreated","whenChanged","DistinguishedName","CanonicalName"
"Administrators","1","Security","DomainLocal","","S-1-5-32-544","","Administrators have complete and unrestricted access to the computer/domain","16/03/2018 5:21:13 PM","21/03/2018 4:47:52 PM","CN=Administrators,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Administrators"
"Users",,"Security","DomainLocal","","S-1-5-32-545","","Users are prevented from making accidental or intentional system-wide changes and can run most applications","16/03/2018 5:21:13 PM","16/03/2018 5:22:29 PM","CN=Users,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Users"
"Guests",,"Security","DomainLocal","","S-1-5-32-546","","Guests have the same access as members of the Users group by default, except for the Guest account which is further restricted","16/03/2018 5:21:13 PM","16/03/2018 5:22:29 PM","CN=Guests,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Guests"
"Print Operators","1","Security","DomainLocal","","S-1-5-32-550","","Members can administer printers installed on domain controllers","16/03/2018 5:21:13 PM","21/03/2018 4:47:52 PM","CN=Print Operators,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Print Operators"
"Backup Operators","1","Security","DomainLocal","","S-1-5-32-551","","Backup Operators can override security restrictions for the sole purpose of backing up or restoring files","16/03/2018 5:21:13 PM","21/03/2018 4:47:52 PM","CN=Backup Operators,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Backup Operators"
"Replicator","1","Security","DomainLocal","","S-1-5-32-552","","Supports file replication in a domain","16/03/2018 5:21:13 PM","16/03/2018 5:37:40 PM","CN=Replicator,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Replicator"
"Remote Desktop Users",,"Security","DomainLocal","","S-1-5-32-555","","Members in this group are granted the right to logon remotely","16/03/2018 5:21:13 PM","16/03/2018 5:21:13 PM","CN=Remote Desktop Users,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Remote Desktop Users"
"Network Configuration Operators",,"Security","DomainLocal","","S-1-5-32-556","","Members in this group can have some administrative privileges to manage configuration of networking features","16/03/2018 5:21:13 PM","21/03/2018 4:47:52 PM","CN=Network Configuration Operators,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Network Configuration Operators"
"Performance Monitor Users",,"Security","DomainLocal","","S-1-5-32-558","","Members of this group can access performance counter data locally and remotely","16/03/2018 5:21:13 PM","16/03/2018 5:21:13 PM","CN=Performance Monitor Users,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Performance Monitor Users"
"Performance Log Users",,"Security","DomainLocal","","S-1-5-32-559","","Members of this group may schedule logging of performance counters, enable trace providers, and collect event traces both locally and via remote access to this computer","16/03/2018 5:21:13 PM","16/03/2018 5:21:13 PM","CN=Performance Log Users,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Performance Log Users"
