"organizationalUnit","objectTypeName","ActiveDirectoryRights","IdentityReference","AccessControlType","IsInherited"
"OU=Domain Controllers,DC=sos,DC=labs","All","GenericRead","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","Allow","False"
"OU=Domain Controllers,DC=sos,DC=labs","All","GenericRead","NT AUTHORITY\Authenticated Users","Allow","False"
"OU=Domain Controllers,DC=sos,DC=labs","All","GenericAll","NT AUTHORITY\SYSTEM","Allow","False"
"OU=Domain Controllers,DC=sos,DC=labs","All","CreateChild, Self, WriteProperty, ExtendedRight, GenericRead, WriteDacl, WriteOwner","sos\Domain Admins","Allow","False"
"OU=Domain Controllers,DC=sos,DC=labs","","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","","ReadProperty, WriteProperty","sos\Key Admins","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","","ReadProperty, WriteProperty","sos\Enterprise Key Admins","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","","Self","CREATOR OWNER","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","","Self","NT AUTHORITY\SELF","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","","ReadProperty","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","","ReadProperty","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","","ReadProperty","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","","WriteProperty","NT AUTHORITY\SELF","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","All","GenericRead","S-1-5-32-554","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","All","GenericRead","S-1-5-32-554","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","All","GenericRead","S-1-5-32-554","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","","ReadProperty, WriteProperty","NT AUTHORITY\SELF","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","","ReadProperty, WriteProperty, ExtendedRight","NT AUTHORITY\SELF","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","All","GenericAll","sos\Enterprise Admins","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","All","ListChildren","S-1-5-32-554","Allow","True"
