"ZoneName","Name","RecordType","Data","TTL","Age","TimeStamp","UpdatedAtSerial","Created","Changed","showInAdvancedViewOnly","DistinguishedName"
"RootDNSServers","@","NS","M.ROOT-SERVERS.NET.","0","0","[static]","0","16/03/2018 6:23:09 AM","16/03/2018 6:23:09 AM","True","DC=@,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=sos,DC=labs"
"RootDNSServers","A.ROOT-SERVERS.NET","AAAA","2001:0503:ba3e:0000:0000:0000:0002:0030","0","0","[static]","0","16/03/2018 6:23:09 AM","16/03/2018 6:23:09 AM","True","DC=A.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=sos,DC=labs"
"RootDNSServers","B.ROOT-SERVERS.NET","AAAA","2001:0500:0084:0000:0000:0000:0000:000b","0","0","[static]","0","16/03/2018 6:23:09 AM","16/03/2018 6:23:09 AM","True","DC=B.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=sos,DC=labs"
"RootDNSServers","C.ROOT-SERVERS.NET","AAAA","2001:0500:0002:0000:0000:0000:0000:000c","0","0","[static]","0","16/03/2018 6:23:09 AM","16/03/2018 6:23:09 AM","True","DC=C.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=sos,DC=labs"
"RootDNSServers","D.ROOT-SERVERS.NET","AAAA","2001:0500:002d:0000:0000:0000:0000:000d","0","0","[static]","0","16/03/2018 6:23:09 AM","16/03/2018 6:23:09 AM","True","DC=D.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=sos,DC=labs"
"RootDNSServers","E.ROOT-SERVERS.NET","A","192.203.230.10","0","0","[static]","0","16/03/2018 6:23:09 AM","16/03/2018 6:23:09 AM","True","DC=E.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=sos,DC=labs"
"RootDNSServers","F.ROOT-SERVERS.NET","AAAA","2001:0500:002f:0000:0000:0000:0000:000f","0","0","[static]","0","16/03/2018 6:23:09 AM","16/03/2018 6:23:09 AM","True","DC=F.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=sos,DC=labs"
"RootDNSServers","G.ROOT-SERVERS.NET","A","192.112.36.4","0","0","[static]","0","16/03/2018 6:23:09 AM","16/03/2018 6:23:09 AM","True","DC=G.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=sos,DC=labs"
"RootDNSServers","H.ROOT-SERVERS.NET","AAAA","2001:0500:0001:0000:0000:0000:0000:0053","0","0","[static]","0","16/03/2018 6:23:09 AM","16/03/2018 6:23:09 AM","True","DC=H.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=sos,DC=labs"
"RootDNSServers","I.ROOT-SERVERS.NET","AAAA","2001:07fe:0000:0000:0000:0000:0000:0053","0","0","[static]","0","16/03/2018 6:23:09 AM","16/03/2018 6:23:09 AM","True","DC=I.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=sos,DC=labs"
"RootDNSServers","J.ROOT-SERVERS.NET","AAAA","2001:0503:0c27:0000:0000:0000:0002:0030","0","0","[static]","0","16/03/2018 6:23:09 AM","16/03/2018 6:23:09 AM","True","DC=J.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=sos,DC=labs"
"RootDNSServers","K.ROOT-SERVERS.NET","AAAA","2001:07fd:0000:0000:0000:0000:0000:0001","0","0","[static]","0","16/03/2018 6:23:09 AM","16/03/2018 6:23:09 AM","True","DC=K.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=sos,DC=labs"
"RootDNSServers","L.ROOT-SERVERS.NET","AAAA","2001:0500:009f:0000:0000:0000:0000:0042","0","0","[static]","0","16/03/2018 6:23:09 AM","16/03/2018 6:23:09 AM","True","DC=L.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=sos,DC=labs"
