Name,UserName,Enabled,Cannot Change Password,Password Never Expires,Must Change Password at Logon,Days Since Last Password Change,Password Not Changed after Max Age,Account Locked Out,Never Logged in,Days Since Last Logon,Dormant (> 90 days),Reversibly Encryped Password,Password Not Required,Trusted for Delegation,Trusted to Auth for Delegation,Does Not Require Pre Auth,Logon Workstations,AdminCount,Primary GroupID,SID,SIDHistory,Description,Password LastSet,Last Logon Date,When Created,When Changed,DistinguishedName,CanonicalName
"Administrator","Administrator","True","False","True","False","8","False","False","False","7","False","False","False","False","False","False","","1","513","S-1-5-21-2872888145-3513486857-3924934394-500","","Built-in account for administering the computer/domain","16/03/2018 11:35:10 AM","16/03/2018 5:28:12 PM","16/03/2018 6:21:13 AM","16/03/2018 6:37:40 AM","CN=Administrator,CN=Users,DC=sos,DC=labs","sos.labs/Users/Administrator"
"Guest","Guest","False","False","True","True","-1","False","False","True","-1","False","False","True","False","False","False","","","514","S-1-5-21-2872888145-3513486857-3924934394-501","","Built-in account for guest access to the computer/domain","1/01/0001 12:00:00 AM","1/01/0001 12:00:00 AM","16/03/2018 6:21:13 AM","16/03/2018 6:21:13 AM","CN=Guest,CN=Users,DC=sos,DC=labs","sos.labs/Users/Guest"
"DefaultAccount","DefaultAccount","False","False","True","True","-1","False","False","True","-1","False","False","True","False","False","False","","","513","S-1-5-21-2872888145-3513486857-3924934394-503","","A user account managed by the system.","1/01/0001 12:00:00 AM","1/01/0001 12:00:00 AM","16/03/2018 6:21:13 AM","16/03/2018 6:21:13 AM","CN=DefaultAccount,CN=Users,DC=sos,DC=labs","sos.labs/Users/DefaultAccount"
"krbtgt","krbtgt","False","False","False","False","7","False","False","True","-1","False","False","False","False","False","False","","1","513","S-1-5-21-2872888145-3513486857-3924934394-502","","Key Distribution Center Service Account","16/03/2018 5:22:29 PM","1/01/0001 12:00:00 AM","16/03/2018 6:22:29 AM","16/03/2018 6:37:40 AM","CN=krbtgt,CN=Users,DC=sos,DC=labs","sos.labs/Users/krbtgt"
"DC Admin","dcadmin","True","False","True","False","7","False","False","True","-1","False","False","False","False","False","False","","1","513","S-1-5-21-2872888145-3513486857-3924934394-1103","","","16/03/2018 5:31:38 PM","1/01/0001 12:00:00 AM","16/03/2018 6:31:38 AM","16/03/2018 7:05:47 AM","CN=DC Admin,OU=Priv Accounts,DC=sos,DC=labs","sos.labs/Priv Accounts/DC Admin"
"D A","da","True","False","True","False","7","False","False","False","5","False","False","False","False","False","False","","1","512","S-1-5-21-2872888145-3513486857-3924934394-1104","","","16/03/2018 5:32:30 PM","18/03/2018 6:19:36 PM","16/03/2018 6:32:30 AM","18/03/2018 7:19:36 AM","CN=D A,OU=Priv Accounts,DC=sos,DC=labs","sos.labs/Priv Accounts/D A"
"E A","ea","True","False","True","False","7","False","False","True","-1","False","False","False","False","False","False","","1","519","S-1-5-21-2872888145-3513486857-3924934394-1105","","","16/03/2018 6:04:36 PM","1/01/0001 12:00:00 AM","16/03/2018 7:04:36 AM","18/03/2018 6:25:05 AM","CN=E A,OU=Priv Accounts,DC=sos,DC=labs","sos.labs/Priv Accounts/E A"
"User 1","user1","True","False","True","False","5","False","False","False","5","False","False","False","False","False","False","","","513","S-1-5-21-2872888145-3513486857-3924934394-1108","","Password Never Expires","18/03/2018 5:19:47 PM","18/03/2018 5:32:27 PM","18/03/2018 6:19:47 AM","18/03/2018 6:32:27 AM","CN=User 1,OU=Lab Users,DC=sos,DC=labs","sos.labs/Lab Users/User 1"
"User 2","user2","True","True","False","False","5","False","False","False","5","False","False","False","False","False","False","","","513","S-1-5-21-2872888145-3513486857-3924934394-1109","","Cannot Change Password","18/03/2018 5:20:21 PM","18/03/2018 5:57:32 PM","18/03/2018 6:20:21 AM","18/03/2018 6:57:32 AM","CN=User 2,OU=Lab Users,DC=sos,DC=labs","sos.labs/Lab Users/User 2"
"User 3","user3","True","False","False","True","-1","False","False","True","-1","False","False","False","False","False","False","","","513","S-1-5-21-2872888145-3513486857-3924934394-1110","","Must Change Password at Next Logon","1/01/0001 12:00:00 AM","1/01/0001 12:00:00 AM","18/03/2018 6:21:24 AM","18/03/2018 6:21:39 AM","CN=User 3,OU=Lab Users,DC=sos,DC=labs","sos.labs/Lab Users/User 3"
"User 4","user4","False","False","False","False","5","False","False","True","-1","False","False","False","False","False","False","","","513","S-1-5-21-2872888145-3513486857-3924934394-1111","","Disabled","18/03/2018 5:22:05 PM","1/01/0001 12:00:00 AM","18/03/2018 6:22:05 AM","18/03/2018 6:22:11 AM","CN=User 4,OU=Lab Users,DC=sos,DC=labs","sos.labs/Lab Users/User 4"
"User 5","user5","True","False","False","False","5","False","False","True","-1","False","True","False","False","False","False","","","513","S-1-5-21-2872888145-3513486857-3924934394-1112","","Store password using Reversible Encryption","18/03/2018 5:22:32 PM","1/01/0001 12:00:00 AM","18/03/2018 6:22:32 AM","18/03/2018 6:22:59 AM","CN=User 5,OU=Lab Users,DC=sos,DC=labs","sos.labs/Lab Users/User 5"
"User 6","user6","True","False","False","False","5","False","False","True","-1","False","False","False","False","False","True","","","513","S-1-5-21-2872888145-3513486857-3924934394-1113","","Do not require Kerberos PreAuth","18/03/2018 5:23:18 PM","1/01/0001 12:00:00 AM","18/03/2018 6:23:18 AM","18/03/2018 6:23:55 AM","CN=User 6,OU=Lab Users,DC=sos,DC=labs","sos.labs/Lab Users/User 6"
"User","user","True","False","True","False","5","False","False","True","-1","False","False","False","False","False","False","","1","513","S-1-5-21-2872888145-3513486857-3924934394-1115","","Member of Administrators","18/03/2018 5:24:26 PM","1/01/0001 12:00:00 AM","18/03/2018 6:24:26 AM","21/03/2018 5:48:29 AM","CN=User,OU=Lab Users,DC=sos,DC=labs","sos.labs/Lab Users/User"
"B O","bo","True","False","True","False","2","False","False","True","-1","False","False","False","False","False","False","","1","513","S-1-5-21-2872888145-3513486857-3924934394-1120","","","21/03/2018 4:43:23 PM","1/01/0001 12:00:00 AM","21/03/2018 5:43:23 AM","21/03/2018 6:38:09 AM","CN=B O,OU=Priv Accounts,DC=sos,DC=labs","sos.labs/Priv Accounts/B O"
"C P","cp","True","True","True","False","2","False","False","True","-1","False","False","False","False","False","False","","","513","S-1-5-21-2872888145-3513486857-3924934394-1121","","","21/03/2018 4:44:16 PM","1/01/0001 12:00:00 AM","21/03/2018 5:44:16 AM","21/03/2018 5:44:16 AM","CN=C P,OU=Priv Accounts,DC=sos,DC=labs","sos.labs/Priv Accounts/C P"
"C O","co","True","True","True","False","2","False","False","True","-1","False","False","False","False","False","False","","","513","S-1-5-21-2872888145-3513486857-3924934394-1122","","","21/03/2018 4:45:13 PM","1/01/0001 12:00:00 AM","21/03/2018 5:45:13 AM","21/03/2018 5:45:13 AM","CN=C O,OU=Priv Accounts,DC=sos,DC=labs","sos.labs/Priv Accounts/C O"
"Back Door","backdoor","True","False","True","False","2","False","False","True","-1","False","False","False","False","False","False","","1","512","S-1-5-21-2872888145-3513486857-3924934394-1123","","","21/03/2018 4:45:55 PM","1/01/0001 12:00:00 AM","21/03/2018 5:45:55 AM","21/03/2018 6:38:09 AM","CN=Back Door,OU=Priv Accounts,DC=sos,DC=labs","sos.labs/Priv Accounts/Back Door"
"sshd","sshd","True","False","True","False","2","False","False","True","-1","False","False","False","False","False","False","","","513","S-1-5-21-2872888145-3513486857-3924934394-1124","","","21/03/2018 5:48:25 PM","1/01/0001 12:00:00 AM","21/03/2018 6:48:25 AM","21/03/2018 6:48:25 AM","CN=sshd,CN=Users,DC=sos,DC=labs","sos.labs/Users/sshd"
