Group,ManagedBy,whenCreated,whenChanged,Description,SID,DistinguishedName,CanonicalName
"Administrators","","16/03/2018 5:21:13 PM","21/03/2018 4:47:52 PM","Administrators have complete and unrestricted access to the computer/domain","S-1-5-32-544","CN=Administrators,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Administrators"
"Users","","16/03/2018 5:21:13 PM","16/03/2018 5:22:29 PM","Users are prevented from making accidental or intentional system-wide changes and can run most applications","S-1-5-32-545","CN=Users,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Users"
"Guests","","16/03/2018 5:21:13 PM","16/03/2018 5:22:29 PM","Guests have the same access as members of the Users group by default, except for the Guest account which is further restricted","S-1-5-32-546","CN=Guests,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Guests"
"Print Operators","","16/03/2018 5:21:13 PM","21/03/2018 4:47:52 PM","Members can administer printers installed on domain controllers","S-1-5-32-550","CN=Print Operators,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Print Operators"
"Backup Operators","","16/03/2018 5:21:13 PM","21/03/2018 4:47:52 PM","Backup Operators can override security restrictions for the sole purpose of backing up or restoring files","S-1-5-32-551","CN=Backup Operators,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Backup Operators"
"Replicator","","16/03/2018 5:21:13 PM","16/03/2018 5:37:40 PM","Supports file replication in a domain","S-1-5-32-552","CN=Replicator,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Replicator"
"Remote Desktop Users","","16/03/2018 5:21:13 PM","16/03/2018 5:21:13 PM","Members in this group are granted the right to logon remotely","S-1-5-32-555","CN=Remote Desktop Users,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Remote Desktop Users"
"Network Configuration Operators","","16/03/2018 5:21:13 PM","21/03/2018 4:47:52 PM","Members in this group can have some administrative privileges to manage configuration of networking features","S-1-5-32-556","CN=Network Configuration Operators,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Network Configuration Operators"
"Performance Monitor Users","","16/03/2018 5:21:13 PM","16/03/2018 5:21:13 PM","Members of this group can access performance counter data locally and remotely","S-1-5-32-558","CN=Performance Monitor Users,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Performance Monitor Users"
"Performance Log Users","","16/03/2018 5:21:13 PM","16/03/2018 5:21:13 PM","Members of this group may schedule logging of performance counters, enable trace providers, and collect event traces both locally and via remote access to this computer","S-1-5-32-559","CN=Performance Log Users,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Performance Log Users"
