"organizationalUnit","objectTypeName","ActiveDirectoryRights","IdentityReference","AccessControlType","IsInherited"
"OU=Domain Controllers,DC=sos,DC=labs","All","GenericRead","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","Allow","False"
"OU=Domain Controllers,DC=sos,DC=labs","All","GenericRead","NT AUTHORITY\Authenticated Users","Allow","False"
"OU=Domain Controllers,DC=sos,DC=labs","All","GenericAll","NT AUTHORITY\SYSTEM","Allow","False"
"OU=Domain Controllers,DC=sos,DC=labs","All","CreateChild, Self, WriteProperty, ExtendedRight, GenericRead, WriteDacl, WriteOwner","S-1-5-21-2248324977-2314973842-2121952795-512","Allow","False"
"OU=Domain Controllers,DC=sos,DC=labs","User-Account-Restrictions","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","User-Account-Restrictions","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","User-Logon","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","User-Logon","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","Membership","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","Membership","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","General-Information","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","General-Information","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","RAS-Information","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","RAS-Information","ReadProperty","S-1-5-32-554","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","ms-DS-Key-Credential-Link","ReadProperty, WriteProperty","S-1-5-21-2248324977-2314973842-2121952795-526","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","ms-DS-Key-Credential-Link","ReadProperty, WriteProperty","S-1-5-21-2248324977-2314973842-2121952795-527","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","DS-Validated-Write-Computer","Self","CREATOR OWNER","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","DS-Validated-Write-Computer","Self","NT AUTHORITY\SELF","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","Token-Groups","ReadProperty","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","Token-Groups","ReadProperty","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","Token-Groups","ReadProperty","NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","ms-TPM-Tpm-Information-For-Computer","WriteProperty","NT AUTHORITY\SELF","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","All","GenericRead","S-1-5-32-554","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","All","GenericRead","S-1-5-32-554","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","All","GenericRead","S-1-5-32-554","Allow","True"
"OU=Domain Controllers,DC=sos,DC=labs","ms-DS-Allowed-To-Act-On-Behalf-Of-Other-Identity","ReadProperty, WriteProperty","NT AUTHORITY\SELF","Allow","True"
