Name,Service,Host
"DC1","Dfsr-12F9A27C-BF97-4787-9364-D31B6C55EB04","DC1.sos.labs"
"DC1","ldap","DC1.sos.labs"
"DC1","ldap","DC1.sos.labs"
"DC1","DNS","DC1.sos.labs"
"DC1","GC","DC1.sos.labs"
"DC1","RestrictedKrbHost","DC1.sos.labs"
"DC1","RestrictedKrbHost","DC1"
"DC1","RPC","4d55de11-5a60-4d67-9523-0607a687be7e._msdcs.sos.labs"
"DC1","HOST","DC1"
"DC1","HOST","DC1.sos.labs"
"DC1","HOST","DC1"
"DC1","HOST","DC1.sos.labs"
"DC1","HOST","DC1.sos.labs"
"DC1","E3514235-4B06-11D1-AB04-00C04FC2DCD2","4d55de11-5a60-4d67-9523-0607a687be7e"
"DC1","ldap","DC1"
"DC1","ldap","4d55de11-5a60-4d67-9523-0607a687be7e._msdcs.sos.labs"
"DC1","ldap","DC1.sos.labs"
"DC1","ldap","DC1"
"DC1","ldap","DC1.sos.labs"
"DC1","ldap","DC1.sos.labs"
"WIN7X86","RestrictedKrbHost","WIN7X86"
"WIN7X86","HOST","WIN7X86"
"WIN7X86","RestrictedKrbHost","WIN7X86.sos.labs"
"WIN7X86","HOST","WIN7X86.sos.labs"
"WIN7X64-OFFICE","TERMSRV","WIN7X64-OFFICE"
"WIN7X64-OFFICE","TERMSRV","Win7x64-Office.sos.labs"
"WIN7X64-OFFICE","RestrictedKrbHost","WIN7X64-OFFICE"
"WIN7X64-OFFICE","HOST","WIN7X64-OFFICE"
"WIN7X64-OFFICE","RestrictedKrbHost","WIN7X64-OFFICE.sos.labs"
"WIN7X64-OFFICE","HOST","WIN7X64-OFFICE.sos.labs"
"WIN8-1X64","RestrictedKrbHost","WIN8-1X64"
"WIN8-1X64","HOST","WIN8-1X64"
"WIN8-1X64","RestrictedKrbHost","Win8-1x64.sos.labs"
"WIN8-1X64","HOST","Win8-1x64.sos.labs"
