Name,UserName,Enabled,Cannot Change Password,Password Never Expires,Must Change Password at Logon,Days Since Last Password Change,Password Not Changed after Max Age,Account Locked Out,Never Logged in,Days Since Last Logon,Dormant (> 90 days),Reversibly Encryped Password,Password Not Required,Trusted for Delegation,Trusted to Auth for Delegation,Does Not Require Pre Auth,Logon Workstations,AdminCount,Primary GroupID,SID,SIDHistory,Description,Password LastSet,Last Logon Date,When Created,When Changed,DistinguishedName,CanonicalName
"Administrator","Administrator","True","False","True","False","8","False","False","False","7","False","False","False","False","False","False","","1","513","S-1-5-21-2872888145-3513486857-3924934394-500","","Built-in account for administering the computer/domain","16/03/2018 11:35:10 AM","16/03/2018 5:28:12 PM","16/03/2018 5:21:13 PM","16/03/2018 5:37:40 PM","CN=Administrator,CN=Users,DC=sos,DC=labs","sos.labs/Users/Administrator"
"Guest","Guest","False","False","True","True","-1","False","False","True","-1","False","False","True","False","False","False","","","514","S-1-5-21-2872888145-3513486857-3924934394-501","","Built-in account for guest access to the computer/domain","1/01/0001 12:00:00 AM","1/01/0001 12:00:00 AM","16/03/2018 5:21:13 PM","16/03/2018 5:21:13 PM","CN=Guest,CN=Users,DC=sos,DC=labs","sos.labs/Users/Guest"
"DefaultAccount","DefaultAccount","False","False","True","True","-1","False","False","True","-1","False","False","True","False","False","False","","","513","S-1-5-21-2872888145-3513486857-3924934394-503","","A user account managed by the system.","1/01/0001 12:00:00 AM","1/01/0001 12:00:00 AM","16/03/2018 5:21:13 PM","16/03/2018 5:21:13 PM","CN=DefaultAccount,CN=Users,DC=sos,DC=labs","sos.labs/Users/DefaultAccount"
"krbtgt","krbtgt","False","False","False","False","7","False","False","True","-1","False","False","False","False","False","False","","1","513","S-1-5-21-2872888145-3513486857-3924934394-502","","Key Distribution Center Service Account","16/03/2018 5:22:29 PM","1/01/0001 12:00:00 AM","16/03/2018 5:22:29 PM","16/03/2018 5:37:40 PM","CN=krbtgt,CN=Users,DC=sos,DC=labs","sos.labs/Users/krbtgt"
"DC Admin","dcadmin","True","False","True","False","7","False","False","True","-1","False","False","False","False","False","False","","1","513","S-1-5-21-2872888145-3513486857-3924934394-1103","","","16/03/2018 5:31:38 PM","1/01/0001 12:00:00 AM","16/03/2018 5:31:38 PM","16/03/2018 6:05:47 PM","CN=DC Admin,OU=Priv Accounts,DC=sos,DC=labs","sos.labs/Priv Accounts/DC Admin"
"D A","da","True","False","True","False","7","False","False","False","5","False","False","False","False","False","False","","1","512","S-1-5-21-2872888145-3513486857-3924934394-1104","","","16/03/2018 5:32:30 PM","18/03/2018 6:19:36 PM","16/03/2018 5:32:30 PM","18/03/2018 6:19:36 PM","CN=D A,OU=Priv Accounts,DC=sos,DC=labs","sos.labs/Priv Accounts/D A"
"E A","ea","True","False","True","False","7","False","False","True","-1","False","False","False","False","False","False","","1","519","S-1-5-21-2872888145-3513486857-3924934394-1105","","","16/03/2018 6:04:36 PM","1/01/0001 12:00:00 AM","16/03/2018 6:04:36 PM","18/03/2018 5:25:05 PM","CN=E A,OU=Priv Accounts,DC=sos,DC=labs","sos.labs/Priv Accounts/E A"
"User 1","user1","True","False","True","False","5","False","False","False","5","False","False","False","False","False","False","","","513","S-1-5-21-2872888145-3513486857-3924934394-1108","","Password Never Expires","18/03/2018 5:19:47 PM","18/03/2018 5:32:27 PM","18/03/2018 5:19:47 PM","18/03/2018 5:32:27 PM","CN=User 1,OU=Lab Users,DC=sos,DC=labs","sos.labs/Lab Users/User 1"
"User 2","user2","True","True","False","False","5","False","False","False","5","False","False","False","False","False","False","","","513","S-1-5-21-2872888145-3513486857-3924934394-1109","","Cannot Change Password","18/03/2018 5:20:21 PM","18/03/2018 5:57:32 PM","18/03/2018 5:20:21 PM","18/03/2018 5:57:32 PM","CN=User 2,OU=Lab Users,DC=sos,DC=labs","sos.labs/Lab Users/User 2"
"User 3","user3","True","False","False","True","-1","False","False","True","-1","False","False","False","False","False","False","","","513","S-1-5-21-2872888145-3513486857-3924934394-1110","","Must Change Password at Next Logon","1/01/0001 12:00:00 AM","1/01/0001 12:00:00 AM","18/03/2018 5:21:24 PM","18/03/2018 5:21:39 PM","CN=User 3,OU=Lab Users,DC=sos,DC=labs","sos.labs/Lab Users/User 3"
